# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	96130
#@/user_id	c768ef2d-e87d-4330-bf27-256461b2f71b
a 	啊	c=30 d=1.66212e-07 t=96130
an zhao wo 	按照我	c=1 d=1 t=53932
an zhuang 	安裝	c=36 d=0.683861 t=96130
an zhuo 	安卓	c=2 d=0.000315458 t=96130
ang gui 	昂貴	c=1 d=1 t=75238
ang ran 	盎然	c=1 d=1 t=31999
ang zang 	骯髒	c=2 d=1.99005 t=75981
ao 	奧	c=3 d=0.00833256 t=96130
ao de 	凹的	c=0 d=0.1 t=20234
ao guo 	熬過	c=1 d=1 t=46641
ao mian gun 	凹面輥	c=0 d=0.1 t=21273
ao xie 	奧謝	c=0 d=7.7518e-06 t=96130
ao ye 	熬夜	c=2 d=1.97531 t=34015
ao yun 	奧運	c=1 d=1 t=48371
ba 	八	c=5 d=1.0069 t=86604
ba 	吧	c=72 d=1.58956 t=96130
ba 	巴	c=1 d=0.0403566 t=96130
ba 	把	c=127 d=0.0762548 t=96130
ba 	爸	c=6 d=1.74826 t=31728
ba ba 	爸爸	c=1 d=1 t=22676
ba cheng 	八成	c=1 d=1 t=29188
ba fen zhi yi 	八分之一	c=1 d=1 t=57761
ba ji 	巴基	c=1 d=1 t=39246
ba jin zhi 	八進制	c=1 d=1 t=25851
ba le 	罷了	c=1 d=6.8942e-08 t=96130
ba ma 	爸媽	c=2 d=0.895834 t=96130
ba na 	巴納	c=0 d=0.1 t=61481
ba na he 	巴拿赫	c=1 d=1 t=61483
ba na hei 	巴納黑	c=1 d=1 t=61482
ba wo 	把握	c=1 d=1 t=45723
ba xi 	巴西	c=1 d=1 t=28977
ba xue 	把学	c=2 d=1.99005 t=90972
ba zhu 	霸主	c=1 d=1 t=59248
bai 	拜	c=0 d=0.199501 t=75686
bai 	擺	c=7 d=0.551563 t=96130
bai 	白	c=7 d=1 t=72708
bai 	百	c=2 d=1 t=79404
bai ban 	白板	c=4 d=1.00001 t=49016
bai de yun 	白的云	c=1 d=8.52579e-07 t=96130
bai di 	白堤	c=1 d=1 t=21954
bai dian 	白點	c=1 d=1 t=83959
bai du 	百度	c=60 d=2.0848 t=96130
bai du yun 	百度雲	c=1 d=1 t=64381
bai fei 	白費	c=1 d=5.81541e-06 t=96130
bai fen bi 	百分比	c=2 d=4.10796e-05 t=96130
bai he 	白盒	c=1 d=1 t=26078
bai nian 	百年	c=3 d=1 t=45789
bai piao 	白嫖	c=4 d=1 t=84996
bai ri 	白日	c=2 d=1 t=86806
bai se 	白色	c=3 d=1 t=65824
bai tuan 	百团	c=1 d=2.81119e-13 t=96130
bai tuo bai tuo 	拜托拜托	c=1 d=1 t=19116
bai xue 	白雪	c=1 d=2.60177e-14 t=96130
bai zhan 	百戰	c=1 d=1 t=79406
ban 	半	c=33 d=4.49558e-07 t=96130
ban 	板	c=1 d=0.1 t=90872
ban 	版	c=12 d=0.980199 t=96130
ban 	班	c=37 d=1.07503e-08 t=96130
ban 	般	c=6 d=1.99501 t=85920
ban 	辦	c=0 d=0.0965605 t=96130
ban ben 	版本	c=43 d=0.603506 t=96130
ban dao 	搬到	c=1 d=1 t=30907
ban dao ti 	半導體	c=1 d=1 t=18791
ban fa 	辦法	c=11 d=0.0467088 t=96130
ban fa 	頒發	c=1 d=4.38832e-17 t=96130
ban ge 	半個	c=2 d=1.94244e-17 t=96130
ban gong 	辦公	c=4 d=1.99005 t=81207
ban gong shi 	辦公事	c=2 d=1.49437e-20 t=96130
ban gong shi 	辦公室	c=4 d=1 t=78950
ban hao 	辦好	c=1 d=4.44012e-08 t=96130
ban hui 	班會	c=15 d=1.93545 t=96130
ban ji 	扳機	c=1 d=3.92239e-20 t=96130
ban ji 	班級	c=45 d=9.43444e-17 t=96130
ban jiang 	頒獎	c=3 d=1.82964e-14 t=96130
ban li 	班裏	c=1 d=1 t=20150
ban ma 	半馬	c=2 d=7.73311e-06 t=96130
ban nian 	半年	c=1 d=1 t=31628
ban quan 	版權	c=2 d=1 t=90490
ban shi 	辦事	c=1 d=2.75028e-20 t=96130
ban tian 	半天	c=2 d=1 t=89897
ban wei 	班委	c=5 d=2.4933e-13 t=96130
ban xiao shi 	半小時	c=1 d=0.0968105 t=96130
ban ye 	半頁	c=2 d=1.98511 t=76215
ban you 	伴有	c=1 d=1 t=75174
ban zhang 	班長	c=3 d=1.12958e-09 t=96130
ban zhu ren 	班主任	c=5 d=1 t=51271
bang 	幫	c=36 d=0.0206828 t=96130
bang 	綁	c=1 d=1 t=76037
bang dao 	幫到	c=1 d=2.4617e-10 t=96130
bang ding 	綁定	c=3 d=4.12209e-16 t=96130
bang fu 	幫扶	c=6 d=1 t=30028
bang ni 	幫你	c=3 d=4.73912e-10 t=96130
bang ren 	幫人	c=1 d=1 t=41415
bang shou 	榜首	c=1 d=1 t=56763
bang ta 	幫他	c=1 d=4.88345e-10 t=96130
bang wan 	傍晚	c=1 d=1 t=59252
bang wo 	幫我	c=63 d=0.0833531 t=96130
bang wo xie 	幫我寫	c=1 d=1 t=49637
bang zhu 	幫助	c=5 d=0.00311976 t=96130
bao 	保	c=1 d=1 t=78297
bao 	包	c=35 d=1.78826e-06 t=96130
bao 	堡	c=0 d=4.74977e-08 t=96130
bao 	報	c=33 d=0.0655462 t=96130
bao bei zi 	薄被子	c=1 d=1.15404e-09 t=96130
bao can cun 	抱殘村	c=1 d=1 t=93526
bao chi 	保持	c=11 d=0.0210361 t=96130
bao chou 	報酬	c=1 d=1 t=38049
bao cun 	保存	c=53 d=0.71177 t=96130
bao cuo 	報錯	c=271 d=0.0799252 t=96130
bao dao 	報道	c=3 d=1 t=95701
bao dian 	寶典	c=1 d=0.282239 t=96130
bao duo 	包夺	c=1 d=1 t=51800
bao gao 	報告	c=41 d=0.00148058 t=96130
bao gao 	報高	c=1 d=1 t=46219
bao gao zhong 	报告中	c=1 d=1 t=45827
bao guan li 	包管理	c=2 d=5.29378e-18 t=96130
bao gui 	寶貴	c=1 d=1 t=56795
bao guo 	包裹	c=1 d=0.054204 t=96130
bao guo 	胞果	c=1 d=0.0539337 t=96130
bao han 	包含	c=29 d=0.0433732 t=96130
bao han 	包涵	c=1 d=1 t=73373
bao han le 	包含了	c=1 d=1 t=66450
bao he 	飽和	c=1 d=1 t=60956
bao he qu 	饱和区	c=1 d=1 t=60182
bao hu 	保護	c=9 d=0.00638525 t=96130
bao jing 	報警	c=1 d=1 t=53164
bao kao 	報考	c=2 d=1.16885e-12 t=96130
bao kou 	胞口	c=1 d=1 t=65065
bao ku 	寶庫	c=2 d=1 t=91450
bao kuo 	包括	c=50 d=0.00800594 t=96130
bao li 	保理	c=1 d=6.74368e-13 t=96130
bao li 	包裏	c=1 d=7.9906e-09 t=96130
bao li 	暴力	c=3 d=4.30816e-06 t=96130
bao liu 	保留	c=5 d=0.000147748 t=96130
bao liu zi 	保留字	c=6 d=1.00121 t=26975
bao lu 	暴露	c=1 d=1 t=75059
bao luo 	保羅	c=1 d=1 t=73056
bao man 	飽滿	c=1 d=1 t=94992
bao ming 	報名	c=18 d=0.000602261 t=96130
bao qian 	抱歉	c=3 d=5.60441e-13 t=96130
bao shou 	保守	c=1 d=1 t=26346
bao wu 	寶物	c=1 d=1 t=67911
bao xian 	保險	c=1 d=1 t=69292
bao xian fei 	保險費	c=1 d=1 t=69541
bao xiu 	保修	c=1 d=1 t=74642
bao xiu qi 	保修期	c=1 d=1 t=74575
bao xu 	包許	c=1 d=2.57544e-12 t=96130
bao yan 	保研	c=1 d=1 t=23948
bao you 	抱有	c=1 d=1 t=49511
bao zha 	爆炸	c=10 d=0.0275983 t=96130
bao zhang 	保障	c=2 d=1 t=76850
bao zheng 	保證	c=5 d=1 t=64104
bao zhuang fei 	包裝費	c=1 d=1 t=69474
bei 	倍	c=1 d=1 t=24015
bei 	唄	c=3 d=1 t=41872
bei 	盃	c=10 d=0.0643435 t=96130
bei 	背	c=10 d=0.0231676 t=96130
bei 	被	c=105 d=0.771274 t=96130
bei ci 	背刺	c=1 d=1 t=37757
bei dan 	被單	c=1 d=1 t=20553
bei diao yong 	被調用	c=1 d=1 t=27110
bei dong 	被動	c=4 d=1.00046 t=48055
bei fen 	備份	c=4 d=1.94697e-08 t=96130
bei guan 	悲觀	c=1 d=1 t=91437
bei hou 	背後	c=3 d=1.70469 t=61476
bei jiao zuo 	被叫做	c=1 d=0.0581343 t=96130
bei jing 	北京	c=8 d=0.580027 t=96130
bei jing 	背景	c=23 d=0.0403256 t=96130
bei lu 	北路	c=1 d=1 t=91792
bei mei 	北美	c=1 d=1 t=46057
bei pan 	背叛	c=2 d=1 t=74553
bei shang 	悲傷	c=1 d=1 t=30345
bei shu 	背書	c=9 d=1.16583e-11 t=96130
bei song 	背誦	c=1 d=1 t=84690
bei wan 	背完	c=3 d=1.02612 t=89878
bei wang 	備忘	c=6 d=1.99501 t=60633
bei wang lu 	備忘錄	c=12 d=0.0900806 t=96130
bei xin 	背心	c=1 d=1 t=64442
bei xuan 	備選	c=1 d=6.41697e-17 t=96130
bei ye 	贝叶	c=1 d=1.09251e-12 t=96130
bei ye si 	贝叶斯	c=2 d=8.81499e-11 t=96130
bei ye si ding li 	貝葉斯定理	c=1 d=4.03073e-17 t=96130
bei zhan 	備戰	c=1 d=1 t=90997
bei zhu 	備注	c=2 d=3.41646e-13 t=96130
bei zi 	被子	c=4 d=3.46267e-09 t=96130
ben 	本	c=25 d=0.982405 t=96130
ben ci 	本次	c=4 d=6.89154e-17 t=96130
ben di 	本地	c=10 d=0.00887071 t=96130
ben ding 	本叮	c=1 d=1 t=93654
ben dui 	本隊	c=1 d=1 t=71436
ben fa ming 	本发明	c=9 d=3.37232 t=95978
ben ke 	本科	c=6 d=1 t=78422
ben lai 	本來	c=3 d=1.00021 t=58325
ben qi ye 	本企業	c=1 d=1 t=68567
ben ren 	本人	c=4 d=0.362402 t=96130
ben shen 	本身	c=2 d=9.01091e-11 t=96130
ben wen 	本文	c=6 d=1.02085 t=73366
ben xue qi 	本學期	c=2 d=0.000242381 t=96130
ben xue xi 	本学习	c=1 d=6.53193e-20 t=96130
ben yue 	奔月	c=1 d=0.000510561 t=96130
ben zhi 	本質	c=4 d=1 t=61143
ben zhi shang 	本質上	c=1 d=1 t=61552
beng chu lai 	蹦出來	c=1 d=1 t=47249
beng de 	繃得	c=0 d=0.0323033 t=96130
beng de hen jin 	繃得很緊	c=1 d=0.324652 t=96130
beng fa 	繃法	c=1 d=1 t=96022
bi 	幣	c=3 d=6.69412e-08 t=96130
bi 	必	c=2 d=1.96079 t=87049
bi 	比	c=34 d=0.0353455 t=96130
bi 	筆	c=12 d=0.000785021 t=96130
bi 	逼	c=3 d=6.56186e-08 t=96130
bi ben 	毕本	c=1 d=2.40051e-08 t=96130
bi bi 	比比	c=1 d=2.41254e-08 t=96130
bi bu ke shao 	必不可少	c=1 d=1 t=73692
bi ci 	彼此	c=6 d=4.59749e-06 t=96130
bi ding 	必定	c=1 d=0.00546167 t=96130
bi dui 	比對	c=1 d=4.07969e-12 t=96130
bi ji 	筆記	c=46 d=8.13097e-08 t=96130
bi ji ben 	筆記本	c=5 d=1.91652e-06 t=96130
bi jian 	比肩	c=2 d=1.9802 t=89831
bi jiao 	比較	c=56 d=0.00833256 t=96130
bi jiao ao 	比較奧	c=1 d=0.0837432 t=96130
bi jiao chang 	比較長	c=1 d=7.02368e-21 t=96130
bi jiao da 	比較大	c=1 d=1 t=35707
bi jiao hao 	比較好	c=1 d=1 t=38627
bi jiao quan 	比較全	c=1 d=1.12302e-12 t=96130
bi kao 	必考	c=32 d=1.08672 t=90025
bi ke 	鰏科	c=1 d=1 t=63559
bi keng 	必坑	c=1 d=1 t=77006
bi keng 	閉坑	c=1 d=1 t=77568
bi li 	比例	c=4 d=0.00644146 t=96130
bi mian 	避免	c=10 d=2.0097e-09 t=96130
bi na mei 	比拿美	c=1 d=1 t=68055
bi ni 	比你	c=1 d=1.4859e-12 t=96130
bi po 	逼迫	c=1 d=1 t=46115
bi ran 	必然	c=1 d=1 t=46092
bi rang 	避讓	c=1 d=1 t=71071
bi ru 	比如	c=18 d=1 t=84470
bi sai 	比賽	c=12 d=2.02591e-12 t=96130
bi ti 	鼻涕	c=1 d=1 t=56600
bi tian 	必填	c=1 d=6.33133e-06 t=96130
bi tui 	避退	c=1 d=1 t=51939
bi xian 	避嫌	c=1 d=1 t=30904
bi xian 	避險	c=3 d=2.90737 t=62403
bi xu 	必須	c=13 d=0.537944 t=96130
bi xuan 	必選	c=2 d=1 t=37574
bi yan 	閉眼	c=3 d=8.76574e-10 t=96130
bi yao 	必要	c=3 d=1 t=95786
bi yao xing 	必要性	c=1 d=1 t=72252
bi ye 	畢業	c=16 d=2.02068e-11 t=96130
bi ye she ji 	畢業設計	c=1 d=1 t=74209
bi ying 	必應	c=4 d=7.83952e-14 t=96130
bi zhe 	閉着	c=1 d=1 t=72717
bi zhi 	壁紙	c=4 d=3.9407 t=87033
bi zhi 	比值	c=2 d=1.00002 t=87026
bi zu 	鼻祖	c=1 d=1 t=92201
bian 	便	c=3 d=8.58158e-08 t=96130
bian 	卞	c=3 d=3.01502e-13 t=96130
bian 	變	c=20 d=0.00390694 t=96130
bian 	遍	c=0 d=0.1 t=45681
bian 	邊	c=17 d=1.00029 t=88991
bian an 	變暗	c=0 d=0.1 t=48058
bian an ma 	變暗嗎	c=2 d=1.01616 t=48884
bian cheng 	編程	c=37 d=0.00219846 t=96130
bian cheng 	變成	c=28 d=4.06098e-08 t=96130
bian cheng ti 	編程題	c=8 d=1.02919 t=89881
bian da 	變大	c=2 d=1.23557e-18 t=96130
bian de 	變得	c=5 d=1.20495 t=83666
bian dong 	變動	c=2 d=1 t=79238
bian gao 	变高	c=1 d=1 t=82860
bian ge 	變革	c=1 d=2.96095e-06 t=96130
bian geng 	變更	c=1 d=1 t=69344
bian hao 	編號	c=6 d=1.02504e-05 t=96130
bian hua 	變化	c=21 d=1.66726e-09 t=96130
bian huan 	變換	c=26 d=1.30907e-11 t=96130
bian hui 	變回	c=2 d=1 t=80415
bian ji 	編輯	c=158 d=2.50644 t=96130
bian ji qi 	編輯器	c=23 d=0.145387 t=96130
bian ji shu 	編輯數	c=1 d=1.10438e-21 t=96130
bian jie 	边界	c=6 d=0.00103828 t=96130
bian ju 	變局	c=3 d=2.20703 t=46146
bian kuang 	邊框	c=2 d=5.67565e-06 t=96130
bian li 	遍歷	c=25 d=0.00015635 t=96130
bian liang 	變量	c=30 d=0.0610813 t=96130
bian liang li 	變量李	c=1 d=1 t=70564
bian ma 	編碼	c=94 d=0.0049091 t=96130
bian ma biao 	編碼表	c=1 d=1 t=57150
bian ma cha 	編碼差	c=2 d=1.96561 t=52444
bian ma qi 	編碼器	c=14 d=1.90756 t=95921
bian nian shi 	編年史	c=1 d=1 t=91317
bian nuan 	變暖	c=2 d=1.42203e-16 t=96130
bian pai 	編排	c=1 d=1 t=28992
bian pang 	变胖	c=1 d=1 t=44404
bian qian 	便籤	c=1 d=4.93588e-18 t=96130
bian shang 	邊上	c=6 d=1 t=86964
bian ti 	變體	c=1 d=1 t=75918
bian wei 	變爲	c=21 d=0.980199 t=96130
bian xiang 	變向	c=1 d=3.29671e-05 t=96130
bian xiao 	變小	c=4 d=5.06876e-07 t=96130
bian xiao xie 	便消協	c=1 d=5.04348e-07 t=96130
bian xie 	編寫	c=11 d=1 t=91862
bian yi 	編譯	c=7 d=1.13666e-08 t=96130
bian yi hou 	編譯後	c=1 d=1.14236e-07 t=96130
bian yong kang 	卞永康	c=4 d=2.50227e-15 t=96130
bian yu 	便於	c=2 d=1 t=80113
bian yuan 	邊緣	c=9 d=2.40571e-09 t=96130
bian yuan jian ce 	邊緣檢測	c=2 d=6.47926e-13 t=96130
bian yuan xian 	边缘线	c=1 d=1 t=65889
bian zheng 	辯證	c=3 d=5.3952e-06 t=96130
bian zheng fa 	辯證法	c=2 d=1 t=52313
biao 	標	c=18 d=1 t=80860
biao 	表	c=120 d=0.660591 t=96130
biao bai 	表白	c=1 d=1 t=39671
biao chi 	標尺	c=1 d=1 t=71829
biao chu qu 	標出去	c=1 d=1 t=41887
biao da 	表達	c=27 d=0.0211736 t=96130
biao da shi 	表達式	c=14 d=1.98533 t=86058
biao dan 	表單	c=2 d=6.33642e-06 t=96130
biao dian 	標點	c=5 d=0.000156102 t=96130
biao ge 	表哥	c=3 d=1 t=53838
biao ge 	表格	c=21 d=0.000182392 t=96130
biao hai shi 	表還是	c=2 d=1 t=92096
biao ji 	標記	c=10 d=3.10737e-06 t=96130
biao jia 	標價	c=1 d=1 t=68653
biao jia biao 	標價表	c=1 d=1 t=26792
biao jie 	表姐	c=1 d=1 t=26266
biao liang 	標量	c=5 d=2.10601 t=54360
biao ming 	表明	c=5 d=1.93707 t=95095
biao qian 	標籤	c=13 d=1.36236e-05 t=96130
biao qian lan 	標籤欄	c=1 d=1 t=90626
biao qian ye 	標籤也	c=1 d=1 t=52926
biao qing 	表情	c=3 d=1.88991e-18 t=96130
biao shi 	標識	c=15 d=1.7671e-11 t=96130
biao shi 	表示	c=142 d=1.38572 t=96130
biao shu 	表述	c=12 d=0.0297478 t=96130
biao ti 	標題	c=5 d=1 t=77933
biao tou 	表頭	c=6 d=1.27843e-10 t=96130
biao wei 	表尾	c=1 d=2.5371e-12 t=96130
biao xian 	表現	c=11 d=5.18454e-08 t=96130
biao xian xing shi 	表現形式	c=1 d=2.92492e-09 t=96130
biao xiang 	表象	c=1 d=1 t=83927
biao xin 	標心	c=0 d=0.1 t=21227
biao yang 	表揚	c=1 d=3.3396e-10 t=96130
biao yu biao 	表與表	c=1 d=1 t=91517
biao zhang 	表彰	c=1 d=1 t=53907
biao zhi 	標誌	c=6 d=1 t=92448
biao zhi 	標識	c=1 d=1 t=42050
biao zhi fu 	標識符	c=1 d=1 t=56125
biao zhu 	標注	c=33 d=0.56836 t=96130
biao zhu lei 	標注類	c=1 d=1 t=76728
biao zhun 	標準	c=30 d=2.53141e-15 t=96130
biao zhun cha 	標準差	c=7 d=1 t=59903
biao zhun hua 	標準化	c=2 d=9.05335e-16 t=96130
biao zhun ku 	標準庫	c=1 d=1 t=26921
bie 	別	c=18 d=0.280021 t=96130
bie de 	別的	c=2 d=1 t=54888
bie dong 	別動	c=1 d=1 t=42417
bie gei 	別給	c=2 d=1.13431e-12 t=96130
bie ji 	別急	c=2 d=1.89583 t=89167
bie kan 	別看	c=1 d=1 t=75789
bie ren 	別人	c=25 d=1.13999e-12 t=96130
bie sheng qi 	別生氣	c=1 d=3.95777e-08 t=96130
bin hai 	濱海	c=1 d=1 t=26243
bing 	並	c=109 d=0.538117 t=96130
bing 	病	c=1 d=1 t=35145
bing bei 	並被	c=1 d=1 t=40661
bing bu shi 	並不是	c=1 d=4.95641e-08 t=96130
bing bu zhong yao 	並不重要	c=1 d=1 t=48156
bing dong 	冰凍	c=1 d=1 t=61691
bing dui 	並對	c=1 d=1.50472e-13 t=96130
bing fa 	併發	c=1 d=1 t=27732
bing fa zheng 	併發症	c=1 d=1 t=44574
bing fei 	並非	c=3 d=1 t=94126
bing fen bie 	并分别	c=1 d=1 t=78066
bing guo dong 	並過冬	c=1 d=1 t=61690
bing hui da 	并回答	c=1 d=7.15947e-11 t=96130
bing hui zhi 	並繪制	c=1 d=1 t=65276
bing jian li 	並建立	c=1 d=1 t=72426
bing jiang 	並將	c=2 d=1 t=93390
bing leng 	冰冷	c=1 d=1 t=30856
bing li 	並勵	c=1 d=1 t=67589
bing mei you 	並沒有	c=1 d=1 t=34099
bing mian 	冰面	c=1 d=1 t=57889
bing qie 	並且	c=5 d=0.018768 t=96130
bing qiu chu 	並求出	c=1 d=1 t=48086
bing que ding 	并确定	c=1 d=1 t=40225
bing shan 	冰山	c=1 d=1 t=38352
bing shu chu 	並輸出	c=1 d=1 t=48538
bing ti chu 	并提出	c=1 d=1 t=74420
bing tong guo 	并通过	c=1 d=1 t=95945
bing xiang 	冰箱	c=0 d=0.1 t=21596
bing xiang ma 	冰箱嗎	c=1 d=1 t=21597
bing xing 	並行	c=6 d=7.54988e-18 t=96130
bing yi 	並以	c=1 d=1 t=83972
bing yong 	並用	c=5 d=1 t=93860
bing you 	並有	c=1 d=1 t=67778
bing zai 	並在	c=1 d=1 t=81588
bo 	伯	c=1 d=1 t=42653
bo 	勃	c=1 d=1 t=37174
bo 	博	c=6 d=1.13068 t=79566
bo 	波	c=2 d=1.24219e-23 t=96130
bo er 	波爾	c=1 d=1 t=40956
bo kan 	駁勘	c=1 d=1 t=86790
bo ke 	博客	c=26 d=1.97531 t=94960
bo ke 	播客	c=1 d=1 t=78760
bo la tu 	柏拉圖	c=1 d=1 t=30365
bo qi 	勃起	c=3 d=1 t=64019
bo shi 	博士	c=7 d=0.1 t=91498
bo xue 	剝削	c=1 d=1 t=22712
bo zi 	脖子	c=1 d=1 t=31676
bu 	不	c=111 d=0.216646 t=96130
bu 	步	c=3 d=1.98135e-15 t=96130
bu 	補	c=3 d=1.83527 t=90629
bu 	部	c=2 d=1 t=79261
bu ai 	不愛	c=2 d=1 t=41530
bu an 	不安	c=1 d=1 t=20639
bu bang 	不帮	c=1 d=1 t=27646
bu bao 	不報	c=2 d=1 t=31487
bu bao cuo 	不報錯	c=8 d=1.06441 t=71738
bu bao han 	不包含	c=2 d=1 t=55410
bu bao kuo 	不包括	c=1 d=1 t=69527
bu bei 	不被	c=1 d=1 t=71252
bu bian 	不便	c=1 d=1 t=80110
bu bian 	不變	c=6 d=1 t=95353
bu bian yu 	不便于	c=1 d=1 t=80097
bu biao 	不标	c=2 d=1.00687 t=42774
bu biao 	不表	c=1 d=1 t=57027
bu bu bu 	不不不	c=1 d=1 t=30085
bu can yu 	不參與	c=1 d=1 t=54196
bu chang 	步長	c=2 d=4.71812e-14 t=96130
bu chang jian 	不常見	c=1 d=1 t=83100
bu chang yong 	不常用	c=1 d=1 t=51411
bu che hui 	不撤回	c=1 d=1 t=26048
bu cheng 	不成	c=1 d=0.0353455 t=96130
bu cheng bi 	不成比	c=1 d=0.355226 t=96130
bu cheng gong 	不成功	c=1 d=1 t=76493
bu chi fan 	不喫飯	c=1 d=1 t=35598
bu chong 	補充	c=34 d=0.000160288 t=96130
bu chong fu 	不重复	c=2 d=1.97531 t=50786
bu chong wen jian 	补充文件	c=1 d=1 t=68864
bu chou 	不愁	c=1 d=1 t=78119
bu chu 	不出	c=2 d=2.60177e-14 t=96130
bu chu lai 	不出來	c=1 d=1 t=88249
bu chu li 	不处理	c=1 d=1 t=27299
bu chun du 	不純度	c=1 d=1.32746e-09 t=96130
bu cuo 	不錯	c=9 d=0.000271921 t=96130
bu da 	不打	c=0 d=0.1 t=21828
bu da dian 	不打點	c=1 d=1 t=41405
bu dai 	不帶	c=2 d=1 t=87278
bu dang 	不當	c=5 d=0.00653881 t=96130
bu dao 	不到	c=5 d=1.41098e-21 t=96130
bu de 	不得	c=1 d=1 t=62351
bu de bu 	不得不	c=2 d=1 t=46119
bu de er zhi 	不得而知	c=1 d=1 t=30944
bu deng yu 	不等於	c=1 d=1 t=59995
bu di yu 	不低於	c=1 d=1 t=31056
bu diao 	不掉	c=1 d=1 t=81819
bu dong 	不動	c=2 d=1.01301e-05 t=96130
bu dong 	不懂	c=1 d=1 t=73766
bu dou 	不都	c=1 d=1 t=30490
bu duan 	不斷	c=31 d=0.0187793 t=96130
bu duan 	不短	c=2 d=3.36971e-06 t=96130
bu duan de 	不斷的	c=1 d=1 t=41111
bu dui 	不對	c=17 d=1.05181e-06 t=96130
bu dui 	部隊	c=5 d=0.00148055 t=96130
bu dui chen 	不對稱	c=1 d=8.13651e-16 t=96130
bu duo 	不多	c=1 d=1 t=61600
bu duo shuo 	不多說	c=1 d=0.00148848 t=96130
bu er 	不二	c=1 d=8.05692e-18 t=96130
bu er 	布爾	c=2 d=1 t=59497
bu fa 	步伐	c=2 d=1.96561 t=91276
bu fa qin hai 	不法侵害	c=1 d=1 t=62405
bu fa sheng 	不發生	c=1 d=1 t=26786
bu fan yi 	不翻譯	c=1 d=1 t=44398
bu fang bian 	不方便	c=1 d=0.0702988 t=96130
bu fei xue 	不費血	c=0 d=0.1 t=19396
bu fen 	部分	c=44 d=1.24097 t=96130
bu fu 	不負	c=1 d=1 t=19530
bu fu 	步幅	c=1 d=1.82159e-17 t=96130
bu fu he 	不符合	c=4 d=1 t=51253
bu fu wei 	步幅爲	c=1 d=1.67188e-17 t=96130
bu gai 	不該	c=2 d=1 t=69978
bu gai bian 	不改变	c=1 d=1 t=70217
bu gan 	不幹	c=2 d=1 t=51769
bu gan 	不敢	c=3 d=0.882497 t=96130
bu gan 	不甘	c=1 d=1 t=76467
